Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail,Tail First Tokens
union institution,afford,court,the court of auditors,"['court', 'auditors']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 257  Court of Auditors’ right of access ,"[' \nUnion institutions, the bodies administering revenue or expenditure on the Union’s behalf and recipients shall afford \nthe Court of Auditors all the facilities and give it all the information which it considers necessary for the performance of \nits task. They shall, at the request of the Court of Auditors, place at its disposal all documents concerning the award and \nperformance of contracts financed by the budget and all accounts of cash or materials, all accounting records or \nsupporting documents, and also administrative documents relating thereto, all documents relating to revenue and \nL 193/150  \n\x0c \nexpenditure, all inventories, all organisation charts of departments, which the Court of Auditors considers necessary for \nauditing the annual accounts and budget implementation reports on the basis of records or on-the-spot auditing and, for \nthe same purposes, all documents and data created or stored electronically. The Court of Auditors’ right of access shall \ninclude access to the IT system used for the management of revenue or expenditure subject to its audit, where such access \nis relevant for the audit. \nThe internal audit bodies and other services of the national administrations concerned shall afford the Court of Auditors \nall the facilities which it considers necessary for the performance of its task. ', ' \nThe officials whose operations are checked by the Court of Auditors shall: \n(a) show their records of cash in hand, any other cash, securities and materials of all kinds, and also the supporting \ndocuments in respect of their stewardship of the funds with which they are entrusted, and also any books, registers \nand other documents relating thereto; \n(b) present the correspondence and any other documents required for the full implementation of the audit referred to in \nArticle 255. \nThe information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors. ', ' \nThe Court of Auditors shall be empowered to audit the documents in respect of the revenue and expenditure of the \nUnion which are held by the departments of Union institutions and, in particular, by the departments responsible for \ndecisions in respect of such revenue and expenditure, the bodies administering revenue or expenditure on the Union’s \nbehalf and the natural or legal persons receiving payments from the budget. ', ' \nThe task of establishing that the revenue has been received and the expenditure incurred in a lawful and proper \nmanner and that the financial management has been sound shall extend to the use, by bodies outside Union institutions, \nof Union funds received by way of contributions. ', ' \nUnion financing paid to recipients outside Union institutions shall be subject to the agreement in writing by those \nrecipients or, failing agreement on their part, by contractors or subcontractors, to an audit by the Court of Auditors into \nthe use made of the financing granted. ', ' \nThe Commission shall, at the request of the Court of Auditors, provide it with any information on borrowing and \nlending operations. ', ' \nUse of integrated computer systems shall not have the effect of reducing access by the Court of Auditors to \nsupporting documents. Whenever technically possible, electronic access to data and documents necessary for the audit \nshall be given to the Court of Auditors in its own premises and in compliance with relevant security rules. ']",the court of auditors,the court of auditors
union institution,give,information,all the information which it considers necessary for the performance of it,"['information', '', '', 'performance', '']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 257  Court of Auditors’ right of access ,"[' \nUnion institutions, the bodies administering revenue or expenditure on the Union’s behalf and recipients shall afford \nthe Court of Auditors all the facilities and give it all the information which it considers necessary for the performance of \nits task. They shall, at the request of the Court of Auditors, place at its disposal all documents concerning the award and \nperformance of contracts financed by the budget and all accounts of cash or materials, all accounting records or \nsupporting documents, and also administrative documents relating thereto, all documents relating to revenue and \nL 193/150  \n\x0c \nexpenditure, all inventories, all organisation charts of departments, which the Court of Auditors considers necessary for \nauditing the annual accounts and budget implementation reports on the basis of records or on-the-spot auditing and, for \nthe same purposes, all documents and data created or stored electronically. The Court of Auditors’ right of access shall \ninclude access to the IT system used for the management of revenue or expenditure subject to its audit, where such access \nis relevant for the audit. \nThe internal audit bodies and other services of the national administrations concerned shall afford the Court of Auditors \nall the facilities which it considers necessary for the performance of its task. ', ' \nThe officials whose operations are checked by the Court of Auditors shall: \n(a) show their records of cash in hand, any other cash, securities and materials of all kinds, and also the supporting \ndocuments in respect of their stewardship of the funds with which they are entrusted, and also any books, registers \nand other documents relating thereto; \n(b) present the correspondence and any other documents required for the full implementation of the audit referred to in \nArticle 255. \nThe information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors. ', ' \nThe Court of Auditors shall be empowered to audit the documents in respect of the revenue and expenditure of the \nUnion which are held by the departments of Union institutions and, in particular, by the departments responsible for \ndecisions in respect of such revenue and expenditure, the bodies administering revenue or expenditure on the Union’s \nbehalf and the natural or legal persons receiving payments from the budget. ', ' \nThe task of establishing that the revenue has been received and the expenditure incurred in a lawful and proper \nmanner and that the financial management has been sound shall extend to the use, by bodies outside Union institutions, \nof Union funds received by way of contributions. ', ' \nUnion financing paid to recipients outside Union institutions shall be subject to the agreement in writing by those \nrecipients or, failing agreement on their part, by contractors or subcontractors, to an audit by the Court of Auditors into \nthe use made of the financing granted. ', ' \nThe Commission shall, at the request of the Court of Auditors, provide it with any information on borrowing and \nlending operations. ', ' \nUse of integrated computer systems shall not have the effect of reducing access by the Court of Auditors to \nsupporting documents. Whenever technically possible, electronic access to data and documents necessary for the audit \nshall be given to the Court of Auditors in its own premises and in compliance with relevant security rules. ']",all the information which it considers necessary for the performance of it,all the information which it considers necessary for
access,be,audit,relevant for the audit where,['audit'],TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 257  Court of Auditors’ right of access ,"[' \nUnion institutions, the bodies administering revenue or expenditure on the Union’s behalf and recipients shall afford \nthe Court of Auditors all the facilities and give it all the information which it considers necessary for the performance of \nits task. They shall, at the request of the Court of Auditors, place at its disposal all documents concerning the award and \nperformance of contracts financed by the budget and all accounts of cash or materials, all accounting records or \nsupporting documents, and also administrative documents relating thereto, all documents relating to revenue and \nL 193/150  \n\x0c \nexpenditure, all inventories, all organisation charts of departments, which the Court of Auditors considers necessary for \nauditing the annual accounts and budget implementation reports on the basis of records or on-the-spot auditing and, for \nthe same purposes, all documents and data created or stored electronically. The Court of Auditors’ right of access shall \ninclude access to the IT system used for the management of revenue or expenditure subject to its audit, where such access \nis relevant for the audit. \nThe internal audit bodies and other services of the national administrations concerned shall afford the Court of Auditors \nall the facilities which it considers necessary for the performance of its task. ', ' \nThe officials whose operations are checked by the Court of Auditors shall: \n(a) show their records of cash in hand, any other cash, securities and materials of all kinds, and also the supporting \ndocuments in respect of their stewardship of the funds with which they are entrusted, and also any books, registers \nand other documents relating thereto; \n(b) present the correspondence and any other documents required for the full implementation of the audit referred to in \nArticle 255. \nThe information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors. ', ' \nThe Court of Auditors shall be empowered to audit the documents in respect of the revenue and expenditure of the \nUnion which are held by the departments of Union institutions and, in particular, by the departments responsible for \ndecisions in respect of such revenue and expenditure, the bodies administering revenue or expenditure on the Union’s \nbehalf and the natural or legal persons receiving payments from the budget. ', ' \nThe task of establishing that the revenue has been received and the expenditure incurred in a lawful and proper \nmanner and that the financial management has been sound shall extend to the use, by bodies outside Union institutions, \nof Union funds received by way of contributions. ', ' \nUnion financing paid to recipients outside Union institutions shall be subject to the agreement in writing by those \nrecipients or, failing agreement on their part, by contractors or subcontractors, to an audit by the Court of Auditors into \nthe use made of the financing granted. ', ' \nThe Commission shall, at the request of the Court of Auditors, provide it with any information on borrowing and \nlending operations. ', ' \nUse of integrated computer systems shall not have the effect of reducing access by the Court of Auditors to \nsupporting documents. Whenever technically possible, electronic access to data and documents necessary for the audit \nshall be given to the Court of Auditors in its own premises and in compliance with relevant security rules. ']",relevant for the audit where,relevant for the audit where
internal audit body,afford,court,the court of auditors,"['court', 'auditors']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 257  Court of Auditors’ right of access ,"[' \nUnion institutions, the bodies administering revenue or expenditure on the Union’s behalf and recipients shall afford \nthe Court of Auditors all the facilities and give it all the information which it considers necessary for the performance of \nits task. They shall, at the request of the Court of Auditors, place at its disposal all documents concerning the award and \nperformance of contracts financed by the budget and all accounts of cash or materials, all accounting records or \nsupporting documents, and also administrative documents relating thereto, all documents relating to revenue and \nL 193/150  \n\x0c \nexpenditure, all inventories, all organisation charts of departments, which the Court of Auditors considers necessary for \nauditing the annual accounts and budget implementation reports on the basis of records or on-the-spot auditing and, for \nthe same purposes, all documents and data created or stored electronically. The Court of Auditors’ right of access shall \ninclude access to the IT system used for the management of revenue or expenditure subject to its audit, where such access \nis relevant for the audit. \nThe internal audit bodies and other services of the national administrations concerned shall afford the Court of Auditors \nall the facilities which it considers necessary for the performance of its task. ', ' \nThe officials whose operations are checked by the Court of Auditors shall: \n(a) show their records of cash in hand, any other cash, securities and materials of all kinds, and also the supporting \ndocuments in respect of their stewardship of the funds with which they are entrusted, and also any books, registers \nand other documents relating thereto; \n(b) present the correspondence and any other documents required for the full implementation of the audit referred to in \nArticle 255. \nThe information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors. ', ' \nThe Court of Auditors shall be empowered to audit the documents in respect of the revenue and expenditure of the \nUnion which are held by the departments of Union institutions and, in particular, by the departments responsible for \ndecisions in respect of such revenue and expenditure, the bodies administering revenue or expenditure on the Union’s \nbehalf and the natural or legal persons receiving payments from the budget. ', ' \nThe task of establishing that the revenue has been received and the expenditure incurred in a lawful and proper \nmanner and that the financial management has been sound shall extend to the use, by bodies outside Union institutions, \nof Union funds received by way of contributions. ', ' \nUnion financing paid to recipients outside Union institutions shall be subject to the agreement in writing by those \nrecipients or, failing agreement on their part, by contractors or subcontractors, to an audit by the Court of Auditors into \nthe use made of the financing granted. ', ' \nThe Commission shall, at the request of the Court of Auditors, provide it with any information on borrowing and \nlending operations. ', ' \nUse of integrated computer systems shall not have the effect of reducing access by the Court of Auditors to \nsupporting documents. Whenever technically possible, electronic access to data and documents necessary for the audit \nshall be given to the Court of Auditors in its own premises and in compliance with relevant security rules. ']",the court of auditors,the court of auditors
operation,check,court,by the court of auditors,"['court', 'auditors']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 257  Court of Auditors’ right of access ,"[' \nUnion institutions, the bodies administering revenue or expenditure on the Union’s behalf and recipients shall afford \nthe Court of Auditors all the facilities and give it all the information which it considers necessary for the performance of \nits task. They shall, at the request of the Court of Auditors, place at its disposal all documents concerning the award and \nperformance of contracts financed by the budget and all accounts of cash or materials, all accounting records or \nsupporting documents, and also administrative documents relating thereto, all documents relating to revenue and \nL 193/150  \n\x0c \nexpenditure, all inventories, all organisation charts of departments, which the Court of Auditors considers necessary for \nauditing the annual accounts and budget implementation reports on the basis of records or on-the-spot auditing and, for \nthe same purposes, all documents and data created or stored electronically. The Court of Auditors’ right of access shall \ninclude access to the IT system used for the management of revenue or expenditure subject to its audit, where such access \nis relevant for the audit. \nThe internal audit bodies and other services of the national administrations concerned shall afford the Court of Auditors \nall the facilities which it considers necessary for the performance of its task. ', ' \nThe officials whose operations are checked by the Court of Auditors shall: \n(a) show their records of cash in hand, any other cash, securities and materials of all kinds, and also the supporting \ndocuments in respect of their stewardship of the funds with which they are entrusted, and also any books, registers \nand other documents relating thereto; \n(b) present the correspondence and any other documents required for the full implementation of the audit referred to in \nArticle 255. \nThe information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors. ', ' \nThe Court of Auditors shall be empowered to audit the documents in respect of the revenue and expenditure of the \nUnion which are held by the departments of Union institutions and, in particular, by the departments responsible for \ndecisions in respect of such revenue and expenditure, the bodies administering revenue or expenditure on the Union’s \nbehalf and the natural or legal persons receiving payments from the budget. ', ' \nThe task of establishing that the revenue has been received and the expenditure incurred in a lawful and proper \nmanner and that the financial management has been sound shall extend to the use, by bodies outside Union institutions, \nof Union funds received by way of contributions. ', ' \nUnion financing paid to recipients outside Union institutions shall be subject to the agreement in writing by those \nrecipients or, failing agreement on their part, by contractors or subcontractors, to an audit by the Court of Auditors into \nthe use made of the financing granted. ', ' \nThe Commission shall, at the request of the Court of Auditors, provide it with any information on borrowing and \nlending operations. ', ' \nUse of integrated computer systems shall not have the effect of reducing access by the Court of Auditors to \nsupporting documents. Whenever technically possible, electronic access to data and documents necessary for the audit \nshall be given to the Court of Auditors in its own premises and in compliance with relevant security rules. ']",by the court of auditors,by the court of auditors
support document,refer,article,to in article 255,['article'],TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 257  Court of Auditors’ right of access ,"[' \nUnion institutions, the bodies administering revenue or expenditure on the Union’s behalf and recipients shall afford \nthe Court of Auditors all the facilities and give it all the information which it considers necessary for the performance of \nits task. They shall, at the request of the Court of Auditors, place at its disposal all documents concerning the award and \nperformance of contracts financed by the budget and all accounts of cash or materials, all accounting records or \nsupporting documents, and also administrative documents relating thereto, all documents relating to revenue and \nL 193/150  \n\x0c \nexpenditure, all inventories, all organisation charts of departments, which the Court of Auditors considers necessary for \nauditing the annual accounts and budget implementation reports on the basis of records or on-the-spot auditing and, for \nthe same purposes, all documents and data created or stored electronically. The Court of Auditors’ right of access shall \ninclude access to the IT system used for the management of revenue or expenditure subject to its audit, where such access \nis relevant for the audit. \nThe internal audit bodies and other services of the national administrations concerned shall afford the Court of Auditors \nall the facilities which it considers necessary for the performance of its task. ', ' \nThe officials whose operations are checked by the Court of Auditors shall: \n(a) show their records of cash in hand, any other cash, securities and materials of all kinds, and also the supporting \ndocuments in respect of their stewardship of the funds with which they are entrusted, and also any books, registers \nand other documents relating thereto; \n(b) present the correspondence and any other documents required for the full implementation of the audit referred to in \nArticle 255. \nThe information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors. ', ' \nThe Court of Auditors shall be empowered to audit the documents in respect of the revenue and expenditure of the \nUnion which are held by the departments of Union institutions and, in particular, by the departments responsible for \ndecisions in respect of such revenue and expenditure, the bodies administering revenue or expenditure on the Union’s \nbehalf and the natural or legal persons receiving payments from the budget. ', ' \nThe task of establishing that the revenue has been received and the expenditure incurred in a lawful and proper \nmanner and that the financial management has been sound shall extend to the use, by bodies outside Union institutions, \nof Union funds received by way of contributions. ', ' \nUnion financing paid to recipients outside Union institutions shall be subject to the agreement in writing by those \nrecipients or, failing agreement on their part, by contractors or subcontractors, to an audit by the Court of Auditors into \nthe use made of the financing granted. ', ' \nThe Commission shall, at the request of the Court of Auditors, provide it with any information on borrowing and \nlending operations. ', ' \nUse of integrated computer systems shall not have the effect of reducing access by the Court of Auditors to \nsupporting documents. Whenever technically possible, electronic access to data and documents necessary for the audit \nshall be given to the Court of Auditors in its own premises and in compliance with relevant security rules. ']",to in article 255,to in article 255
information,request,court,only by the court of auditors,"['court', 'auditors']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 257  Court of Auditors’ right of access ,"[' \nUnion institutions, the bodies administering revenue or expenditure on the Union’s behalf and recipients shall afford \nthe Court of Auditors all the facilities and give it all the information which it considers necessary for the performance of \nits task. They shall, at the request of the Court of Auditors, place at its disposal all documents concerning the award and \nperformance of contracts financed by the budget and all accounts of cash or materials, all accounting records or \nsupporting documents, and also administrative documents relating thereto, all documents relating to revenue and \nL 193/150  \n\x0c \nexpenditure, all inventories, all organisation charts of departments, which the Court of Auditors considers necessary for \nauditing the annual accounts and budget implementation reports on the basis of records or on-the-spot auditing and, for \nthe same purposes, all documents and data created or stored electronically. The Court of Auditors’ right of access shall \ninclude access to the IT system used for the management of revenue or expenditure subject to its audit, where such access \nis relevant for the audit. \nThe internal audit bodies and other services of the national administrations concerned shall afford the Court of Auditors \nall the facilities which it considers necessary for the performance of its task. ', ' \nThe officials whose operations are checked by the Court of Auditors shall: \n(a) show their records of cash in hand, any other cash, securities and materials of all kinds, and also the supporting \ndocuments in respect of their stewardship of the funds with which they are entrusted, and also any books, registers \nand other documents relating thereto; \n(b) present the correspondence and any other documents required for the full implementation of the audit referred to in \nArticle 255. \nThe information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors. ', ' \nThe Court of Auditors shall be empowered to audit the documents in respect of the revenue and expenditure of the \nUnion which are held by the departments of Union institutions and, in particular, by the departments responsible for \ndecisions in respect of such revenue and expenditure, the bodies administering revenue or expenditure on the Union’s \nbehalf and the natural or legal persons receiving payments from the budget. ', ' \nThe task of establishing that the revenue has been received and the expenditure incurred in a lawful and proper \nmanner and that the financial management has been sound shall extend to the use, by bodies outside Union institutions, \nof Union funds received by way of contributions. ', ' \nUnion financing paid to recipients outside Union institutions shall be subject to the agreement in writing by those \nrecipients or, failing agreement on their part, by contractors or subcontractors, to an audit by the Court of Auditors into \nthe use made of the financing granted. ', ' \nThe Commission shall, at the request of the Court of Auditors, provide it with any information on borrowing and \nlending operations. ', ' \nUse of integrated computer systems shall not have the effect of reducing access by the Court of Auditors to \nsupporting documents. Whenever technically possible, electronic access to data and documents necessary for the audit \nshall be given to the Court of Auditors in its own premises and in compliance with relevant security rules. ']",only by the court of auditors,only by the court of auditors
union institution,be,union institution,subject to the agreement in writing by recipients outside union institutions or failing agreement on recipients outside union institutions part by contractors or subcontractors to an audit by the court of auditors into the use made of the financing granted,"['agreement', 'writing', 'recipients', 'union institutions', 'failing agreement', 'recipients', 'union institutions', 'contractors', 'subcontractors', 'audit', 'court', 'auditors', 'use', 'financing']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 257  Court of Auditors’ right of access ,"[' \nUnion institutions, the bodies administering revenue or expenditure on the Union’s behalf and recipients shall afford \nthe Court of Auditors all the facilities and give it all the information which it considers necessary for the performance of \nits task. They shall, at the request of the Court of Auditors, place at its disposal all documents concerning the award and \nperformance of contracts financed by the budget and all accounts of cash or materials, all accounting records or \nsupporting documents, and also administrative documents relating thereto, all documents relating to revenue and \nL 193/150  \n\x0c \nexpenditure, all inventories, all organisation charts of departments, which the Court of Auditors considers necessary for \nauditing the annual accounts and budget implementation reports on the basis of records or on-the-spot auditing and, for \nthe same purposes, all documents and data created or stored electronically. The Court of Auditors’ right of access shall \ninclude access to the IT system used for the management of revenue or expenditure subject to its audit, where such access \nis relevant for the audit. \nThe internal audit bodies and other services of the national administrations concerned shall afford the Court of Auditors \nall the facilities which it considers necessary for the performance of its task. ', ' \nThe officials whose operations are checked by the Court of Auditors shall: \n(a) show their records of cash in hand, any other cash, securities and materials of all kinds, and also the supporting \ndocuments in respect of their stewardship of the funds with which they are entrusted, and also any books, registers \nand other documents relating thereto; \n(b) present the correspondence and any other documents required for the full implementation of the audit referred to in \nArticle 255. \nThe information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors. ', ' \nThe Court of Auditors shall be empowered to audit the documents in respect of the revenue and expenditure of the \nUnion which are held by the departments of Union institutions and, in particular, by the departments responsible for \ndecisions in respect of such revenue and expenditure, the bodies administering revenue or expenditure on the Union’s \nbehalf and the natural or legal persons receiving payments from the budget. ', ' \nThe task of establishing that the revenue has been received and the expenditure incurred in a lawful and proper \nmanner and that the financial management has been sound shall extend to the use, by bodies outside Union institutions, \nof Union funds received by way of contributions. ', ' \nUnion financing paid to recipients outside Union institutions shall be subject to the agreement in writing by those \nrecipients or, failing agreement on their part, by contractors or subcontractors, to an audit by the Court of Auditors into \nthe use made of the financing granted. ', ' \nThe Commission shall, at the request of the Court of Auditors, provide it with any information on borrowing and \nlending operations. ', ' \nUse of integrated computer systems shall not have the effect of reducing access by the Court of Auditors to \nsupporting documents. Whenever technically possible, electronic access to data and documents necessary for the audit \nshall be given to the Court of Auditors in its own premises and in compliance with relevant security rules. ']",subject to the agreement in writing by recipients outside union institutions or failing agreement on recipients outside union institutions part by contractors or subcontractors to an audit by the court of auditors into the use made of the financing granted,subject to the agreement in writing by recipients
integrate computer system,have,document,the effect of reducing access by the court of auditors to supporting documents,"['effect', 'access', 'court', 'auditors', 'documents']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 257  Court of Auditors’ right of access ,"[' \nUnion institutions, the bodies administering revenue or expenditure on the Union’s behalf and recipients shall afford \nthe Court of Auditors all the facilities and give it all the information which it considers necessary for the performance of \nits task. They shall, at the request of the Court of Auditors, place at its disposal all documents concerning the award and \nperformance of contracts financed by the budget and all accounts of cash or materials, all accounting records or \nsupporting documents, and also administrative documents relating thereto, all documents relating to revenue and \nL 193/150  \n\x0c \nexpenditure, all inventories, all organisation charts of departments, which the Court of Auditors considers necessary for \nauditing the annual accounts and budget implementation reports on the basis of records or on-the-spot auditing and, for \nthe same purposes, all documents and data created or stored electronically. The Court of Auditors’ right of access shall \ninclude access to the IT system used for the management of revenue or expenditure subject to its audit, where such access \nis relevant for the audit. \nThe internal audit bodies and other services of the national administrations concerned shall afford the Court of Auditors \nall the facilities which it considers necessary for the performance of its task. ', ' \nThe officials whose operations are checked by the Court of Auditors shall: \n(a) show their records of cash in hand, any other cash, securities and materials of all kinds, and also the supporting \ndocuments in respect of their stewardship of the funds with which they are entrusted, and also any books, registers \nand other documents relating thereto; \n(b) present the correspondence and any other documents required for the full implementation of the audit referred to in \nArticle 255. \nThe information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors. ', ' \nThe Court of Auditors shall be empowered to audit the documents in respect of the revenue and expenditure of the \nUnion which are held by the departments of Union institutions and, in particular, by the departments responsible for \ndecisions in respect of such revenue and expenditure, the bodies administering revenue or expenditure on the Union’s \nbehalf and the natural or legal persons receiving payments from the budget. ', ' \nThe task of establishing that the revenue has been received and the expenditure incurred in a lawful and proper \nmanner and that the financial management has been sound shall extend to the use, by bodies outside Union institutions, \nof Union funds received by way of contributions. ', ' \nUnion financing paid to recipients outside Union institutions shall be subject to the agreement in writing by those \nrecipients or, failing agreement on their part, by contractors or subcontractors, to an audit by the Court of Auditors into \nthe use made of the financing granted. ', ' \nThe Commission shall, at the request of the Court of Auditors, provide it with any information on borrowing and \nlending operations. ', ' \nUse of integrated computer systems shall not have the effect of reducing access by the Court of Auditors to \nsupporting documents. Whenever technically possible, electronic access to data and documents necessary for the audit \nshall be given to the Court of Auditors in its own premises and in compliance with relevant security rules. ']",the effect of reducing access by the court of auditors to supporting documents,the effect of reducing access by the court
audit,give,audit,in the audit,['audit'],TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 257  Court of Auditors’ right of access ,"[' \nUnion institutions, the bodies administering revenue or expenditure on the Union’s behalf and recipients shall afford \nthe Court of Auditors all the facilities and give it all the information which it considers necessary for the performance of \nits task. They shall, at the request of the Court of Auditors, place at its disposal all documents concerning the award and \nperformance of contracts financed by the budget and all accounts of cash or materials, all accounting records or \nsupporting documents, and also administrative documents relating thereto, all documents relating to revenue and \nL 193/150  \n\x0c \nexpenditure, all inventories, all organisation charts of departments, which the Court of Auditors considers necessary for \nauditing the annual accounts and budget implementation reports on the basis of records or on-the-spot auditing and, for \nthe same purposes, all documents and data created or stored electronically. The Court of Auditors’ right of access shall \ninclude access to the IT system used for the management of revenue or expenditure subject to its audit, where such access \nis relevant for the audit. \nThe internal audit bodies and other services of the national administrations concerned shall afford the Court of Auditors \nall the facilities which it considers necessary for the performance of its task. ', ' \nThe officials whose operations are checked by the Court of Auditors shall: \n(a) show their records of cash in hand, any other cash, securities and materials of all kinds, and also the supporting \ndocuments in respect of their stewardship of the funds with which they are entrusted, and also any books, registers \nand other documents relating thereto; \n(b) present the correspondence and any other documents required for the full implementation of the audit referred to in \nArticle 255. \nThe information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors. ', ' \nThe Court of Auditors shall be empowered to audit the documents in respect of the revenue and expenditure of the \nUnion which are held by the departments of Union institutions and, in particular, by the departments responsible for \ndecisions in respect of such revenue and expenditure, the bodies administering revenue or expenditure on the Union’s \nbehalf and the natural or legal persons receiving payments from the budget. ', ' \nThe task of establishing that the revenue has been received and the expenditure incurred in a lawful and proper \nmanner and that the financial management has been sound shall extend to the use, by bodies outside Union institutions, \nof Union funds received by way of contributions. ', ' \nUnion financing paid to recipients outside Union institutions shall be subject to the agreement in writing by those \nrecipients or, failing agreement on their part, by contractors or subcontractors, to an audit by the Court of Auditors into \nthe use made of the financing granted. ', ' \nThe Commission shall, at the request of the Court of Auditors, provide it with any information on borrowing and \nlending operations. ', ' \nUse of integrated computer systems shall not have the effect of reducing access by the Court of Auditors to \nsupporting documents. Whenever technically possible, electronic access to data and documents necessary for the audit \nshall be given to the Court of Auditors in its own premises and in compliance with relevant security rules. ']",in the audit,in the audit
auditor,transmit,union institution,any observations which are in 30 june opinion such that the commission and the other union institutions concerned should appear in 30 june annual report to the commission and the other union institutions concerned by 30 june,"['observations', '', '30 june opinion', 'commission', 'union institutions', '30 june annual report', 'commission', 'union institutions', '30 june']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 258  Annual report of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Commission and the other Union institutions concerned, by 30 June, \nany observations which are, in its opinion, such that they should appear in its annual report. Those observations shall \nremain confidential and shall be subject to an adversarial procedure. Each Union institution shall address its reply to the \nCourt of Auditors by 15 October. The replies of Union institutions other than the Commission shall be sent to the \nCommission at the same time. ', ' \nThe annual report of the Court of Auditors shall contain an assessment of the soundness of financial management. ', ' \nThe annual report of the Court of Auditors shall contain a section for each Union institution and for the common \nprovisioning fund. The Court of Auditors may add any summary report or general observations which it sees fit to make. ', ' \nThe Court of Auditors shall transmit to the authorities responsible for giving discharge and to the other Union \ninstitutions, by 15 November, its annual report accompanied by the replies of Union institutions and shall ensure \npublication thereof in the Official Journal of the European Union. ']",any observations which are in 30 june opinion such that the commission and the other union institutions concerned should appear in 30 june annual report to the commission and the other union institutions concerned by 30 june,any observations which are in 30 june opinion
union institution,appear,annual report,in 30 june annual report,"['30 june', 'annual report']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 258  Annual report of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Commission and the other Union institutions concerned, by 30 June, \nany observations which are, in its opinion, such that they should appear in its annual report. Those observations shall \nremain confidential and shall be subject to an adversarial procedure. Each Union institution shall address its reply to the \nCourt of Auditors by 15 October. The replies of Union institutions other than the Commission shall be sent to the \nCommission at the same time. ', ' \nThe annual report of the Court of Auditors shall contain an assessment of the soundness of financial management. ', ' \nThe annual report of the Court of Auditors shall contain a section for each Union institution and for the common \nprovisioning fund. The Court of Auditors may add any summary report or general observations which it sees fit to make. ', ' \nThe Court of Auditors shall transmit to the authorities responsible for giving discharge and to the other Union \ninstitutions, by 15 November, its annual report accompanied by the replies of Union institutions and shall ensure \npublication thereof in the Official Journal of the European Union. ']",in 30 june annual report,in 30 june annual report
annual report,be,adversarial procedure,subject to an adversarial procedure,['adversarial procedure'],TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 258  Annual report of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Commission and the other Union institutions concerned, by 30 June, \nany observations which are, in its opinion, such that they should appear in its annual report. Those observations shall \nremain confidential and shall be subject to an adversarial procedure. Each Union institution shall address its reply to the \nCourt of Auditors by 15 October. The replies of Union institutions other than the Commission shall be sent to the \nCommission at the same time. ', ' \nThe annual report of the Court of Auditors shall contain an assessment of the soundness of financial management. ', ' \nThe annual report of the Court of Auditors shall contain a section for each Union institution and for the common \nprovisioning fund. The Court of Auditors may add any summary report or general observations which it sees fit to make. ', ' \nThe Court of Auditors shall transmit to the authorities responsible for giving discharge and to the other Union \ninstitutions, by 15 November, its annual report accompanied by the replies of Union institutions and shall ensure \npublication thereof in the Official Journal of the European Union. ']",subject to an adversarial procedure,subject to an adversarial procedure
union institution,address,union institution,each union institution reply to the court of auditors by 15 october,"['union institution', 'court', 'auditors', '15 october']",TITLE XIV EXTERNAL AUDIT AND DISCHARGE,Article 258  Annual report of the Court of Auditors ,"[' \nThe Court of Auditors shall transmit to the Commission and the other Union institutions concerned, by 30 June, \nany observations which are, in its opinion, such that they should appear in its annual report. Those observations shall \nremain confidential and shall be subject to an adversarial procedure. Each Union institution shall address its reply to the \nCourt of Auditors by 15 October. The replies of Union institutions other than the Commission shall be sent to the \nCommission at the same time. ', ' \nThe annual report of the Court of Auditors shall contain an assessment of the soundness of financial management. ', ' \nThe annual report of the Court of Auditors shall contain a section for each Union institution and for the common \nprovisioning fund. The Court of Auditors may add any summary report or general observations which it sees fit to make. ', ' \nThe Court of Auditors shall transmit to the authorities responsible for giving discharge and to the other Union \ninstitutions, by 15 November, its annual report accompanied by the replies of Union institutions and shall ensure \npublication thereof in the Official Journal of the European Union. ']",each union institution reply to the court of auditors by 15 october,each union institution reply to the court of
