Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail,Tail First Tokens
article,specify,award criterion,the award criteria which shall be such as to make possible to assess the quality of the applications with regard to the objectives pursued and the expected results and to determine objectively whether applications are successful specify the amount of the prize or prizes specify the arrangements for the payment of prizes to the winners after the winners award,"['award criteria', '', 'quality', 'applications', 'regard', 'objectives', 'expected results', 'applications', '', 'prize', 'prizes', 'arrangements', 'payment', 'prizes', 'winners', 'winners']",TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ","[' \nRules of contests shall: \n(a) specify the eligibility criteria; \n(b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of \napplications; \n(c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; \n(d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the \nframework of the contest; \n(e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as \nspecified in the rules of the contest; \n(f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard \nto the objectives pursued and the expected results and to determine objectively whether applications are successful; \n(g) specify the amount of the prize or prizes; \n(h) specify the arrangements for the payment of prizes to the winners after their award.   \nL 193/131  243).\n\x0c \nFor the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules \nof contest. \nArticle 194(3) shall apply mutatis mutandis to the publication of contests. ', ' \nRules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be \nfulfilled. ', ' \nPrizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee \nreferred to in Article 150. \nArticle 200(4) and (6) shall apply mutatis mutandis to the award decision. ', ' \nApplicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any \ncase within 15 calendar days after the award decision has been taken by the authorising officer. \nThe decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. ', ' \nAll prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). \nWhen requested by the European Parliament and by the Council following the publication, the Commission shall forward \nthem a report on: \n(a) the number of applicants in the past year; \n(b) the number of applicants and the percentage of successful applications per contest; \n(c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the \nprocedure for their selection. \n']",the award criteria which shall be such as to make possible to assess the quality of the applications with regard to the objectives pursued and the expected results and to determine objectively whether applications are successful specify the amount of the prize or prizes specify the arrangements for the payment of prizes to the winners after the winners award,the award criteria which shall be such as
award criterion,specify,prize,the amount of the prize or prizes,"['', 'prize', 'prizes']",TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ","[' \nRules of contests shall: \n(a) specify the eligibility criteria; \n(b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of \napplications; \n(c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; \n(d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the \nframework of the contest; \n(e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as \nspecified in the rules of the contest; \n(f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard \nto the objectives pursued and the expected results and to determine objectively whether applications are successful; \n(g) specify the amount of the prize or prizes; \n(h) specify the arrangements for the payment of prizes to the winners after their award.   \nL 193/131  243).\n\x0c \nFor the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules \nof contest. \nArticle 194(3) shall apply mutatis mutandis to the publication of contests. ', ' \nRules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be \nfulfilled. ', ' \nPrizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee \nreferred to in Article 150. \nArticle 200(4) and (6) shall apply mutatis mutandis to the award decision. ', ' \nApplicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any \ncase within 15 calendar days after the award decision has been taken by the authorising officer. \nThe decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. ', ' \nAll prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). \nWhen requested by the European Parliament and by the Council following the publication, the Commission shall forward \nthem a report on: \n(a) the number of applicants in the past year; \n(b) the number of applicants and the percentage of successful applications per contest; \n(c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the \nprocedure for their selection. \n']",the amount of the prize or prizes,the amount of the prize or prizes
award criterion,specify,payment,the arrangements for the payment of prizes to the winners,"['arrangements', 'payment', 'prizes', 'winners']",TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ","[' \nRules of contests shall: \n(a) specify the eligibility criteria; \n(b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of \napplications; \n(c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; \n(d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the \nframework of the contest; \n(e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as \nspecified in the rules of the contest; \n(f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard \nto the objectives pursued and the expected results and to determine objectively whether applications are successful; \n(g) specify the amount of the prize or prizes; \n(h) specify the arrangements for the payment of prizes to the winners after their award.   \nL 193/131  243).\n\x0c \nFor the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules \nof contest. \nArticle 194(3) shall apply mutatis mutandis to the publication of contests. ', ' \nRules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be \nfulfilled. ', ' \nPrizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee \nreferred to in Article 150. \nArticle 200(4) and (6) shall apply mutatis mutandis to the award decision. ', ' \nApplicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any \ncase within 15 calendar days after the award decision has been taken by the authorising officer. \nThe decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. ', ' \nAll prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). \nWhen requested by the European Parliament and by the Council following the publication, the Commission shall forward \nthem a report on: \n(a) the number of applicants in the past year; \n(b) the number of applicants and the percentage of successful applications per contest; \n(c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the \nprocedure for their selection. \n']",the arrangements for the payment of prizes to the winners,the arrangements for the payment of prizes to
article,apply,publication,mutatis mutandis to the publication of contests,"['mutatis mutandis', 'publication', 'contests']",TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ","[' \nRules of contests shall: \n(a) specify the eligibility criteria; \n(b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of \napplications; \n(c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; \n(d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the \nframework of the contest; \n(e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as \nspecified in the rules of the contest; \n(f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard \nto the objectives pursued and the expected results and to determine objectively whether applications are successful; \n(g) specify the amount of the prize or prizes; \n(h) specify the arrangements for the payment of prizes to the winners after their award.   \nL 193/131  243).\n\x0c \nFor the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules \nof contest. \nArticle 194(3) shall apply mutatis mutandis to the publication of contests. ', ' \nRules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be \nfulfilled. ', ' \nPrizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee \nreferred to in Article 150. \nArticle 200(4) and (6) shall apply mutatis mutandis to the award decision. ', ' \nApplicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any \ncase within 15 calendar days after the award decision has been taken by the authorising officer. \nThe decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. ', ' \nAll prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). \nWhen requested by the European Parliament and by the Council following the publication, the Commission shall forward \nthem a report on: \n(a) the number of applicants in the past year; \n(b) the number of applicants and the percentage of successful applications per contest; \n(c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the \nprocedure for their selection. \n']",mutatis mutandis to the publication of contests,mutatis mutandis to the publication of contests
rule,set,condition,the conditions for cancelling the contest in particular where the contest objectives cannot be fulfilled,"['conditions', 'contest', 'contest objectives']",TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ","[' \nRules of contests shall: \n(a) specify the eligibility criteria; \n(b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of \napplications; \n(c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; \n(d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the \nframework of the contest; \n(e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as \nspecified in the rules of the contest; \n(f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard \nto the objectives pursued and the expected results and to determine objectively whether applications are successful; \n(g) specify the amount of the prize or prizes; \n(h) specify the arrangements for the payment of prizes to the winners after their award.   \nL 193/131  243).\n\x0c \nFor the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules \nof contest. \nArticle 194(3) shall apply mutatis mutandis to the publication of contests. ', ' \nRules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be \nfulfilled. ', ' \nPrizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee \nreferred to in Article 150. \nArticle 200(4) and (6) shall apply mutatis mutandis to the award decision. ', ' \nApplicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any \ncase within 15 calendar days after the award decision has been taken by the authorising officer. \nThe decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. ', ' \nAll prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). \nWhen requested by the European Parliament and by the Council following the publication, the Commission shall forward \nthem a report on: \n(a) the number of applicants in the past year; \n(b) the number of applicants and the percentage of successful applications per contest; \n(c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the \nprocedure for their selection. \n']",the conditions for cancelling the contest in particular where the contest objectives can not be fulfilled,the conditions for cancelling the contest in particular
prize,award,article,by the authorising officer responsible following an evaluation by the evaluation committee referred to in article 150,"['authorising officer', 'evaluation', 'evaluation committee', 'article']",TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ","[' \nRules of contests shall: \n(a) specify the eligibility criteria; \n(b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of \napplications; \n(c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; \n(d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the \nframework of the contest; \n(e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as \nspecified in the rules of the contest; \n(f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard \nto the objectives pursued and the expected results and to determine objectively whether applications are successful; \n(g) specify the amount of the prize or prizes; \n(h) specify the arrangements for the payment of prizes to the winners after their award.   \nL 193/131  243).\n\x0c \nFor the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules \nof contest. \nArticle 194(3) shall apply mutatis mutandis to the publication of contests. ', ' \nRules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be \nfulfilled. ', ' \nPrizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee \nreferred to in Article 150. \nArticle 200(4) and (6) shall apply mutatis mutandis to the award decision. ', ' \nApplicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any \ncase within 15 calendar days after the award decision has been taken by the authorising officer. \nThe decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. ', ' \nAll prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). \nWhen requested by the European Parliament and by the Council following the publication, the Commission shall forward \nthem a report on: \n(a) the number of applicants in the past year; \n(b) the number of applicants and the percentage of successful applications per contest; \n(c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the \nprocedure for their selection. \n']",by the authorising officer responsible following an evaluation by the evaluation committee referred to in article 150,by the authorising officer responsible following an evaluation
article,apply,award decision,mutatis mutandis to the award decision,"['mutatis mutandis', 'award decision']",TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ","[' \nRules of contests shall: \n(a) specify the eligibility criteria; \n(b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of \napplications; \n(c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; \n(d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the \nframework of the contest; \n(e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as \nspecified in the rules of the contest; \n(f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard \nto the objectives pursued and the expected results and to determine objectively whether applications are successful; \n(g) specify the amount of the prize or prizes; \n(h) specify the arrangements for the payment of prizes to the winners after their award.   \nL 193/131  243).\n\x0c \nFor the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules \nof contest. \nArticle 194(3) shall apply mutatis mutandis to the publication of contests. ', ' \nRules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be \nfulfilled. ', ' \nPrizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee \nreferred to in Article 150. \nArticle 200(4) and (6) shall apply mutatis mutandis to the award decision. ', ' \nApplicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any \ncase within 15 calendar days after the award decision has been taken by the authorising officer. \nThe decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. ', ' \nAll prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). \nWhen requested by the European Parliament and by the Council following the publication, the Commission shall forward \nthem a report on: \n(a) the number of applicants in the past year; \n(b) the number of applicants and the percentage of successful applications per contest; \n(c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the \nprocedure for their selection. \n']",mutatis mutandis to the award decision,mutatis mutandis to the award decision
award decision,take,authorise officer,in any case within 15 calendar days by the authorising officer,"['case', '15 calendar days', 'authorising officer']",TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ","[' \nRules of contests shall: \n(a) specify the eligibility criteria; \n(b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of \napplications; \n(c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; \n(d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the \nframework of the contest; \n(e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as \nspecified in the rules of the contest; \n(f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard \nto the objectives pursued and the expected results and to determine objectively whether applications are successful; \n(g) specify the amount of the prize or prizes; \n(h) specify the arrangements for the payment of prizes to the winners after their award.   \nL 193/131  243).\n\x0c \nFor the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules \nof contest. \nArticle 194(3) shall apply mutatis mutandis to the publication of contests. ', ' \nRules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be \nfulfilled. ', ' \nPrizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee \nreferred to in Article 150. \nArticle 200(4) and (6) shall apply mutatis mutandis to the award decision. ', ' \nApplicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any \ncase within 15 calendar days after the award decision has been taken by the authorising officer. \nThe decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. ', ' \nAll prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). \nWhen requested by the European Parliament and by the Council following the publication, the Commission shall forward \nthem a report on: \n(a) the number of applicants in the past year; \n(b) the number of applicants and the percentage of successful applications per contest; \n(c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the \nprocedure for their selection. \n']",in any case within 15 calendar days by the authorising officer,in any case within 15 calendar days by
award decision,notify,win applicant,to the winning applicant,['winning applicant'],TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ","[' \nRules of contests shall: \n(a) specify the eligibility criteria; \n(b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of \napplications; \n(c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; \n(d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the \nframework of the contest; \n(e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as \nspecified in the rules of the contest; \n(f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard \nto the objectives pursued and the expected results and to determine objectively whether applications are successful; \n(g) specify the amount of the prize or prizes; \n(h) specify the arrangements for the payment of prizes to the winners after their award.   \nL 193/131  243).\n\x0c \nFor the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules \nof contest. \nArticle 194(3) shall apply mutatis mutandis to the publication of contests. ', ' \nRules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be \nfulfilled. ', ' \nPrizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee \nreferred to in Article 150. \nArticle 200(4) and (6) shall apply mutatis mutandis to the award decision. ', ' \nApplicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any \ncase within 15 calendar days after the award decision has been taken by the authorising officer. \nThe decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. ', ' \nAll prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). \nWhen requested by the European Parliament and by the Council following the publication, the Commission shall forward \nthem a report on: \n(a) the number of applicants in the past year; \n(b) the number of applicants and the percentage of successful applications per contest; \n(c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the \nprocedure for their selection. \n']",to the winning applicant,to the winning applicant
award decision,serve,legal commitment,as the legal commitment,['legal commitment'],TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ","[' \nRules of contests shall: \n(a) specify the eligibility criteria; \n(b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of \napplications; \n(c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; \n(d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the \nframework of the contest; \n(e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as \nspecified in the rules of the contest; \n(f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard \nto the objectives pursued and the expected results and to determine objectively whether applications are successful; \n(g) specify the amount of the prize or prizes; \n(h) specify the arrangements for the payment of prizes to the winners after their award.   \nL 193/131  243).\n\x0c \nFor the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules \nof contest. \nArticle 194(3) shall apply mutatis mutandis to the publication of contests. ', ' \nRules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be \nfulfilled. ', ' \nPrizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee \nreferred to in Article 150. \nArticle 200(4) and (6) shall apply mutatis mutandis to the award decision. ', ' \nApplicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any \ncase within 15 calendar days after the award decision has been taken by the authorising officer. \nThe decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. ', ' \nAll prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). \nWhen requested by the European Parliament and by the Council following the publication, the Commission shall forward \nthem a report on: \n(a) the number of applicants in the past year; \n(b) the number of applicants and the percentage of successful applications per contest; \n(c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the \nprocedure for their selection. \n']",as the legal commitment,as the legal commitment
